p	h	t
albatroz	Ave	s.m. Ave de habitat marinho, da família dos diomedeídeos, migradoras, de cor branca, corpo robusto, asas longas e cauda curta; com mais 3,5 metros de envergadura, sendo encontrada no hemisfério sul, é considerada a maior ave voadora do mundo.
albergue	Casa	s.m. Casa situada geralmente no campo, e onde se pode comer, beber, dormir, pagando; albergaria, estalagem.
albergue	Asilo	Bras. Asilo onde os mendigos se recolhem à noite.
albinismo	Anomalia	s.m. Anomalia congênita que consiste na diminuição ou ausência da matéria corante da pele, dos cabelos e dos olhos.
album	Caderno	s.m. Caderno cartonado ou livro encadernado, destinado a receber desenhos, fotografias etc.
alcachofra	Planta	s.f. Planta hortense cuja volumosa inflorescência fornece, antes de se abrir, um receptáculo comestível, como a base das brácteas. (Família das compostas.)
alcalinidade	Estado	s.f. Estado alcalino.
alcaloide	Substância	s.m. Substância orgânica que, por suas propriedades, lembra os álcalis. (Numerosos alcalóides  como a morfina, a estricnina, a atropina e outros  têm propriedades terapêuticas.)
alcance	s.m.	s.m. Distância que se pode atingir (pela vista, por um projétil): óculos de arma de longo alcance.
alcapao	Portinhola	s.m. Portinhola horizontal que comunica dois pavimentos.
alcateia	Bando	s.f. Bando ou conjunto de lobos.
alcateia	Coletivo	Gram. Coletivo de lobos.
alcatifa	s.f.	s.f. Tapete grande; alfombra.
alcatra	Lugar	s.f. Lugar onde acaba o fio do lombo do boi ou da vaca, e em que estão pegados os rins.
alcatrao	Substância	s.m. Substância escura e viscosa que se obtém pela destilação da hulha ou do petróleo. (O alcatrão de hulha produz diversos derivados: benzina, tolueno, xilênio, fenol, naftaleno, creosoto, antraceno, breu; o alcatrão vegetal, extraído da madeira, contém naftaleno e parafina.)
alcatraz	Ave	sm (ár al-gaTTâs) 1 Ornit Ave fregatídea da ordem dos Pelicaniformes (Fregata magnificens rothschildi), que se alimenta de peixes mortos, exercendo, portanto, no mar, as funções do urubu na terra. Não frequenta o mar alto como o albatroz; nidifica nas ilhas do Pacífico e Atlântico, inclusive na Ilha dos Alcatrazes, do litoral brasileiro; grapirá, tesoura, joão-grande. 2 Designação de várias espécies de pelicanos. 3 pop O que conserta ossos deslocados.
alce	Mamífero	s.m. Mamífero ruminante, de chifres em forma de leque, que vive na Escandinávia, na Sibéria, no Canadá, no Alasca. (Comprimento: 2,80 m; peso: 1.000 kg; família dos cervídeos.)
alcool	Líquido	s.m. Líquido obtido mediante a destilação do vinho, de outras bebidas ou líquidos fermentados, também chamado espírito de vinho, álcool etílico. (Fórmula C2H5OH; ferve a 78ÂºC e se solidifica a -112ÂºC.)
alcool	bebida	P. ext. Qualquer bebida alcoólica.
alcorao	Livro	s.m. Livro que contém a doutrina de Maomé.
alcorao	religião	A religião maometana.
alcova	quarto	s.f. Pequeno quarto interior onde está o leito; recâmara.
alcoviteiro	Indivíduo	P.ext. Indivíduo mexeriqueiro, leva-e-traz: o alcoviteiro do bairro.
alcoviteiro	s.m.	s.m. Em algumas regiões do Brasil. Do mesmo significado de periquito.
aldeao	Habitante	s.m. Habitante de uma aldeia.
aldeia	Povoação	Povoação de indígenas.
alecrim	Arbusto	s.m. Arbusto da família da hortelã que se destaca pela fragrância de suas folhas.  É originário da região mediterrânea.
alegoria	Obra	Artes. Obra que representa um pensamento abstrato.
alegria	Estado	s.f. Estado de satisfação extrema; sentimento de contentamento ou de prazer excessivo.
alegria	condição	A condição de satisfação da pessoa que está contente (alegre).
alergia	Hipersensibilidade	s.f. Hipersensibilidade do organismo à ação de certas substâncias inofensivas à maioria dos indivíduos.
alfa	letra	s.m. Primeira letra do alfabeto grego.
alfabeto	Série	s.m. Série de letras usadas na escrita de uma língua.  A palavra vem de alpha e beta, as duas primeiras letras do alfabeto grego.
alfafa	Planta	s.f. Planta forraginosa; luzerna. (Família das leguminosas.)
alfaiate	Indivíduo	s.m. Indivíduo cuja profissão é fazer roupa de homem, e costumes de mulher.
alfandega	Administração	s.f. Administração pública que fiscaliza as mercadorias que entram ou saem do país e cobra as taxas de importação e exportação; aduana.
alfandega	Casa	Casa ou recinto onde funciona essa repartição.
alfazema	Planta	s.f. Planta de origem européia da família das labiadas, de que se extrai um óleo de odor muito suave; lavanda.
alfazema	flor	A flor dessa planta.
alfinete	haste	s.m. Pequena haste metálica, com cabeça em uma das extremidades e com ponta na outra.
alforje	Saco	s.m. Saco fechado em ambas as extremidades e com uma abertura no centro, de modo que forma como que duas bolsas. Usa-se ao ombro, para distribuir o peso dos dois lados.
alforria	Liberdade	s.f. Liberdade concedida pelo senhor ao escravo; libertação.
alga	Vegetal	s.f. Vegetal talófito clorofilado sem raízes nem caule, que vive na água do mar, na água doce, ou no ar úmido.
algaravia	Confusão	Confusão de vozes.
algebra	Ciência	s.f. Ciência do cálculo das grandezas abstratas, representadas por letras.
algema	argola	s.f. Espécie de argola de ferro provida de fechadura, que serve para prender uma pessoa pelo pulso. (Usa-se mais comumente no pl., porque, de ordinário, consta de um par dessas argolas, unidas por uma haste ou pequena corrente.)
algibeira	saco	s.f. Pequeno saco ou bolso numa peça do vestuário; bolso.
algodao	Penugem	s.m. Penugem que rodeia as sementes do algodoeiro.
algodao	Tecido	Tecido que se fabrica com essa penugem.
algodoal	Plantação	s.m. Plantação de algodoeiros.
algodoeiro	Planta	s.m. Planta herbácea ou arbustiva, originária da Índia, cultivada nos países quentes, e que fornece o algodão. (As sementes do algodoeiro fornecem um óleo alimentício.) (Alt.: de 0,5 a 1,5 m; família das malváceas.)
algoritmo	sequência	É uma sequência finita de instruções bem definidas e não ambíguas, cada uma das quais pode ser executada mecanicamente num período de tempo finito e com uma quantidade de esforço finita.
algoz	Indivíduo	s.m. Indivíduo que era responsável pela execução de alguém condenado à morte, às torturas etc.; carrasco, verdugo,
algoz	Pessoa	Figurado. Pessoa desumana e cruel; quem é capaz de realizar atos abomináveis ou terríveis.
alguidar	Vaso	s.m. Vaso de barro ou metal, de uso doméstico, em forma de cone truncado invertido.
alho	Erva  s.m.  Erva do gênero Allium que, comumente conhecida por possuir bulbo e gomos (cabeça e dentes), se assemelha à cebola, sendo muito utilizada como tempero ou como antigripal.
alibi	Prova	s.m. Prova de inocência do réu que, alegada pela defesa, comprova que o acusado estava em outro local no momento do crime.
aliciador	Característica	adj. Característica daquilo que alicia; que pode ser utilizado para aliciar; aliciante,
alienacao	Desinteresse	Informal. Desinteresse por questões políticas ou sociais: alienação política.
alimaria	Animal	s.f. Animal irracional, cavalgadura, bruto.
alimaria	Pessoa	Fig. Pessoa estúpida e grosseira.
alimentacao	Sustento;	Sustento; abastecimento das substâncias imprescindíveis à manutenção da vida.
alistamento	Ação	s.m. Ação de alistar ou de alistar-se.
aliteracao	Repetição	s.f. Repetição das mesmas sonoridades numa série de sílabas ou palavras. (Ex.: a brisa do Brasil beija e balança.)
alivio	Diminuição	s.m. Diminuição de peso ou carga: o alívio dos programas escolares.
almanaque	Calendário	s.m. Calendário que comporta indicações astronômicas e meteorológicas.
almirante	Oficial-general	s.m. Oficial-general da marinha de guerra.
almirante	Erva	Erva da família das papaveráceas.
almiscar	Substância	s.m. Substância odorífera utilizada em perfumaria e produzida por alguns mamíferos, particularmente por um cervídeo, o almiscareiro macho.
almofada	saco	s.f. Espécie de saco fechado contendo matéria mole ou elástica (paina, algodão, crina, penas, esponja de borracha, espuma de plástico), ou retesado por molas ou ar comprimido, para servir de encosto, assento, apoio de cabeça, ornato etc.; coxim.
almofada	Peça	Peça ligeiramente saliente da parte central e retangular das portas e de alguns tipos de janela.
almondega	Bolinho	s.f. Bolinho ou croquete de carne moída.
almoxarifado	Local	s.m. Local em que são colocados os objetos, materiais e/ou matérias-primas utilizados em estabelecimentos públicos ou privados.
alogia	Ausência	s.f. Ausência de lógica; absurdo, contra-senso, disparate.
alojamento	Ato	s.m. Ato ou efeito de alojar.
alojamento	Lugar	Lugar em que se acomodam os internos de um colégio, hospital etc.
alojamento	Local	Local em que se aquartelam tropas em campanha, em trânsito etc.; quartel.
alongamento	Aumento	s.m. Aumento do comprimento ou da duração; prolongamento.
alopatia	Tratamento	s.f. Medicina. Tratamento médico, caracterizado pela prescrição de remédios,  capaz de provocar no organismo o efeito contrário ao causado pela doença que se deseja combater.
alpargata	Sandália	s.f. Sandália que se fixa ao pé através de tiras de couro ou de pano.
alpendre	telhado	s.m. Pequeno telhado saliente acima de uma porta, de uma janela, para abrigar do sol, da chuva, ou para servir de ornato; telheiro.
alpinismo	Esporte	s.m. Esporte que consiste em escalar rochas e montanhas; montanhismo.
alqueire	medida	s.m. Antiga medida de capacidade para secos, sobretudo cereais, mas de volume variável (no Brasil, entre 12,5 e 13,8 litros).
alta	Elevação	s.f. Elevação de preços, de cotação de títulos: a alta da bolsa de valores.
altar	mesa	s.m. Antigamente, mesa para os sacrifícios: ergueu um altar aos deuses.
altar	Objeto	Objeto santo, venerável, digno de sacrifícios:  o altar da pátria.
alternacao	Ação	s.f. Ação de alternar.
alternancia	Ação	s.f. Ação de alternar, disposição alternada: a alternância das estações.
alternancia	Repetição	Repetição de dois motivos diferentes sempre na mesma ordem.
alternancia	Ciclo	Biologia. Ciclo evolutivo em que modos diferentes se alternam com regularidade: a alternância das culturas.
alternativa	Sucessão	s.f. Sucessão de coisas que se repetem com alternação: alternativas de calor e de frio.
alternativa	Escolha	Escolha entre duas possibilidades: encontro-me diante desta alternativa: ficar ou partir.
altitude	Elevação	s.f. Elevação vertical de um ponto acima do nível médio do mar.
altitude	Ângulo	Astronomia. Ângulo de elevação de um astro.
alto-falante	Aparelho	s.m. Eletrônica. Aparelho capaz de transformar em onda acústica um sinal de audiofrequência.
alto-mar	Área	s.m. Marinha. Área marítima distante da costa ou do limite à beira-mar: mar alto, mar largo.
alto-mar	Região	Jurídico. Região marítima que está fora dos limites territoriais de um país, nação etc: mar pleno, mar livre, mar largo.
altruismo	Dedicação	Dedicação desinteressada; ação de amar ao próximo sem esperar nada em troca.
altura	Qualidade	s.f. Qualidade do que é alto.
altura	Dimensão	Dimensão vertical de um corpo: a altura de um edifício.
alucinacao	Sensação	s.f. Sensação mórbida produzida por algo inexistente.
alucinacao	Devaneio,	Devaneio, delírio, ilusão.
alucinacao	Obscurecimento	Obscurecimento passageiro das faculdades mentais.
alude	Massa	s.m. Massa de neve que se precipita do alto da montanha; avalancha.
aluguel	Cessão	s.m. Cessão de uso e gozo de um imóvel, objeto, animal, veículo, por tempo determinado ou não e mediante o pagamento de um preço.
aluminio	Metal	s.m. Metal (Al) branco brilhante, leve, dúctil e maleável, que o ar altera muito pouco.  O alumínio funde a 660ÂºC e sua densidade é 2,7. O composto mais importante é seu óxido, a alumina. A redução eletrolítica desse óxido, obtido a partir da bauxita, está na base da metalurgia moderna do alumínio. É utilizado na fabricação de utensílios domésticos e, por causa de sua leveza, na indústria automobilística, aeronáutica e eletrônica, na construção e na decoração.
aluno	Pessoa	s.m. Pessoa que recebe lições de um mestre; discípulo, escolar.
alusao	Menção	s.f. Menção ou citação; referência feita de maneira vaga ou indireta sobre algo ou alguém: na aula fez alusão ao filme.
alusao	Palavra	Palavra ou frase que tem o intuito de mencionar, de citar, algo ou alguém que não está presente, mas pode ser retomado pelo contexto.
alusao	Ação	Ação ou efeito de aludir.
alva	claridade	S.f. Primeira claridade do dia que se produz no horizonte.
alva	vestidura	Longa vestidura branca que os padres usam para a celebração de ofícios litúrgicos.
alvara	Documento	s.m. Documento de autorização; documento que, emitido por uma autoridade judicial ou administrativa, dá autorização para a prática de certos atos: alvará de soltura; alvará judiciário.
alvara	Licença;	Licença; documento emitido por uma autoridade administrativa para que alguém ou uma empresa exerça atividades comerciais ou outros serviços: alvará de funcionamento; alvará para abertura de um parque.
alvedrio	decisão	s.m. Arbítrio; decisão tomada por vontade própria.
alvenaria	Construção.	s.f. Construção. Ofício de um pedreiro.
alvenaria	Material	Material com o qual são construídas paredes, muros etc; geralmente, refere-se às pedras que não foram lavradas.
alvenaria	Obra	Obra executada com tijolos, pedras brutas, cantaria etc., unidos por meio de argamassa, cimento, gesso etc.: a casa é de alvenaria.
alveolo	cavidades	s.m. Cada uma das cavidades que formam o favo de mel das abelhas.
alvitre	Conselho;	s.m. Conselho; o que se sugere; o que é proposto ou lembrado.
alvo	Objeto,	s.m. Objeto, geralmente em forma de disco, de madeira ou papelão, que serve de objetivo em competições, treino ou instrução de tiro.
alvo	ponto	Qualquer ponto que se procura acertar com tiro.
alvo	Objetivo	Fig. Objetivo a que se dirige algum intento; fim, meta: ter a celebridade como alvo.
ama	Mulher	P.analogia. Mulher que realiza serviços domésticos para alguém que faz parte da nobreza; aia.
amabilidade	Característica	s.f. Característica ou atributo de amável: demonstrava amabilidade diante dos alunos.
